"","Location","Treatment","Location Bonferroni-corrected","Treatment Bonferroni-corrected"
"Unknown MST 114",0.327421138601788,0.173853113623179,85.4569171750667,45.3756626556498
"Unknown MST 115",0.112065150882128,0.636261357247005,29.2490043802354,166.064214241468
"Unknown MST 116",0.96244885112212,0.656035680207138,251.199150142873,171.225312534063
"Unknown MST 117",0.0780014461485997,0.481022711880728,20.3583774447845,125.54692780087
"Ascorbic acid (4TMS)",0.0324161090224549,0.354612195731188,8.46060445486073,92.55378308584
"Inositol, myo- (6TMS)",0.602944733252416,0.532414075517074,157.368575378881,138.960073709956
"Unknown MST 118",0.352302102865652,0.396154005827764,91.9508488479352,103.396195521047
"Unknown MST 119",0.277685822555309,0.187859767543052,72.4759996869356,49.0313993287365
"Unknown MST 120",0.428075093543316,0.930429205464821,111.727599414805,242.842022626318
"Tyrosine (3TMS)",0.428670334346049,0.977556572344017,111.882957264319,255.142265381788
"Unknown MST 121",0.497185768142533,0.790096123590562,129.765485485201,206.215088257137
"Unknown MST 122",0.984031696220168,0.519041361590668,256.832272713464,135.469795375164
"Unknown MST 123",0.736068193593417,0.890805435201285,192.113798527882,232.500218587535
"Unknown MST 124",0.0280181078763681,0.842047672401878,7.31272615573207,219.77444249689
"Unknown MST 125",0.938823751375817,0.261056663772925,245.032999109088,68.1357892447335
"Unknown MST 126",0.0347000028380047,0.753759334843147,9.05670074071923,196.731186394061
"Unknown MST 127",0.696045485679731,0.938301051764711,181.66787176241,244.89657451059
"Unknown MST 128",0.48016853219306,0.359412168964226,125.323986902389,93.806576099663
"Unknown MST 129",0.864386936634447,0.449553861872219,225.604990461591,117.333557948649
"Unknown MST 130",0.846158328489837,0.444464616078325,220.847323735847,116.005264796443
"Unknown MST 131",0.608258793259226,0.636822464759603,158.755545040658,166.210663302256
"Unknown MST 132",0.807069823223936,0.2046247538418,210.645223861447,53.4070607527098
"Unknown MST 133",0.231672201861808,0.92424459454402,60.466444685932,241.227839175989
"Unknown MST 134",0.0274238144962509,0.575298464194874,7.15761558352149,150.152899154862
"Unknown MST 135",0.954940796963246,0.85434983168995,249.239548007407,222.985306071077
"Unknown MST 136",0.643312941842819,0.764734766067283,167.904677820976,199.595773943561
"Unknown MST 137",0.191749761814866,0.422725597180116,50.04668783368,110.33138086401
"Unknown MST 138",0.850852690231158,0.398317518843973,222.072552150332,103.960872418277
